Source,Target,Type,Id,Label,timeset,Weight,year,place
左拉(1945),《周报(上海1945)》,Directed,10598,,"<[1945.0, 1945.0]>",30,1945,上海
黄炎培(1945),《国讯》,Directed,10599,,"<[1945.0, 1945.0]>",25,1945,上海
新命(1945),《中央周刊》,Directed,10600,,"<[1945.0, 1945.0]>",23,1945,重庆
努生(1945),《民主周刊(昆明)》,Directed,10601,,"<[1945.0, 1945.0]>",21,1945,昆明
郑振铎(1945),《周报(上海1945)》,Directed,10602,,"<[1945.0, 1945.0]>",21,1945,上海
阿尔古斯(1945),《时代杂志》,Directed,10603,,"<[1945.0, 1945.0]>",20,1945,上海
昭抡(1945),《民主周刊(昆明)》,Directed,10604,,"<[1945.0, 1945.0]>",19,1945,昆明
俞颂华(1945),《国讯》,Directed,10605,,"<[1945.0, 1945.0]>",17,1945,上海
丰子恺(1945),《周报(上海1945)》,Directed,10606,,"<[1945.0, 1945.0]>",16,1945,上海
张文伯(1945),《中央周刊》,Directed,10607,,"<[1945.0, 1945.0]>",16,1945,重庆
陶行知(1945),《民主(重庆)》,Directed,10608,,"<[1945.0, 1945.0]>",14,1945,重庆
梁公任(1945),《国讯》,Directed,10609,,"<[1945.0, 1945.0]>",13,1945,上海
景宋(1945),《民主(上海)》,Directed,10610,,"<[1945.0, 1945.0]>",12,1945,上海
蒲岗(1945),《民主(上海)》,Directed,10611,,"<[1945.0, 1945.0]>",11,1945,上海
守巧夫(1945),《时代杂志》,Directed,10612,,"<[1945.0, 1945.0]>",9,1945,上海
尊闻(1945),《民主(上海)》,Directed,10613,,"<[1945.0, 1945.0]>",9,1945,上海
秦柳方(1945),《国讯》,Directed,10614,,"<[1945.0, 1945.0]>",9,1945,上海
米谷(1945),《时代杂志》,Directed,10615,,"<[1945.0, 1945.0]>",9,1945,上海
郑振铎(1945),《民主(上海)》,Directed,10616,,"<[1945.0, 1945.0]>",9,1945,上海
郭沫若(1945),《时代杂志》,Directed,10617,,"<[1945.0, 1945.0]>",9,1945,上海
钱穆(1945),《中央周刊》,Directed,10618,,"<[1945.0, 1945.0]>",9,1945,重庆
史大林(1945),《时代杂志》,Directed,10619,,"<[1945.0, 1945.0]>",8,1945,上海
周建人(1945),《民主(上海)》,Directed,10620,,"<[1945.0, 1945.0]>",8,1945,上海
平心(1945),《周报(上海1945)》,Directed,10621,,"<[1945.0, 1945.0]>",8,1945,上海
施维卓夫(1945),《时代杂志》,Directed,10622,,"<[1945.0, 1945.0]>",8,1945,上海
王新命(1945),《中央周刊》,Directed,10623,,"<[1945.0, 1945.0]>",8,1945,重庆
董秋斯(1945),《民主(上海)》,Directed,10624,,"<[1945.0, 1945.0]>",8,1945,上海
右民(1945),《中央周刊》,Directed,10625,,"<[1945.0, 1945.0]>",7,1945,重庆
建人(1945),《中央周刊》,Directed,10626,,"<[1945.0, 1945.0]>",7,1945,重庆
引流(1945),《国讯》,Directed,10627,,"<[1945.0, 1945.0]>",7,1945,上海
石啸冲(1945),《再生》,Directed,10628,,"<[1945.0, 1945.0]>",7,1945,重庆
伊戈斯(1945),《时代杂志》,Directed,10629,,"<[1945.0, 1945.0]>",6,1945,上海
孟南(1945),《民主周刊(昆明)》,Directed,10630,,"<[1945.0, 1945.0]>",6,1945,昆明
杨明(1945),《民主(上海)》,Directed,10631,,"<[1945.0, 1945.0]>",6,1945,上海
罗隆基(1945),《民主周刊(昆明)》,Directed,10632,,"<[1945.0, 1945.0]>",6,1945,昆明
胡春冰(1945),《中央周刊》,Directed,10633,,"<[1945.0, 1945.0]>",6,1945,重庆
蒋炳贤(1945),《中央周刊》,Directed,10634,,"<[1945.0, 1945.0]>",6,1945,重庆
费孝通(1945),《民主周刊(昆明)》,Directed,10635,,"<[1945.0, 1945.0]>",6,1945,昆明
邓初民(1945),《文萃》,Directed,10636,,"<[1945.0, 1945.0]>",6,1945,上海
钱纳水(1945),《中央周刊》,Directed,10637,,"<[1945.0, 1945.0]>",6,1945,重庆
