"title","author","journal","year","vol","page","place"
"如何走上民主建設之路","莊智煥 芝","观察","1946","第1卷 第6期","2-5","上海"
"尾頁：負生偶記（三）","观察","1946","第1卷 第6期","22",NA,"上海"
"尾頁：復旦的秋天","多魯","观察","1946","第1卷 第6期","22","上海"
"尾頁：洋顧問","一行","观察","1946","第1卷 第6期","22","上海"
"我從泰興來","朱東潤","观察","1946","第1卷 第6期","6-8","上海"
"文學·藝術·戯劇·音樂：戲劇與觀衆","陳瘦竹","观察","1946","第1卷 第10期","20-21","上海"
"尾頁：憤世之作","靑雲","观察","1946","第1卷 第10期","22","上海"
"尾頁：黷武的心理","旁聽","观察","1946","第1卷 第10期","22","上海"
"尾頁：負生偶記（七）","观察","1946","第1卷 第10期","22",NA,"上海"
"尾頁：南京：南京在世界上是一個特殊的城市……","观察","1946","第1卷 第10期","22",NA,"上海"
"尾頁：胡馬談片（南京通信）","观察","1946","第1卷 第10期","22",NA,"上海"
"書評出版：英國司法制度（英國賈克遜(Jackson)著）","李浩培","观察","1946","第1卷 第5期","21","上海"
"尾頁：青城遊","炎","观察","1946","第1卷 第5期","22","上海"
"給英國老約翰","蕭乾","观察","1946","第1卷 第9期","11-12","上海"
"觀察通信版：一篇真實的災區報告：穀倉邊緣的饑饉：湘江河畔，垃圾堆裏雜陳餓俘屍骸……","观察","1946","第1卷 第9期","13-15",NA,"上海"
"浙江政情：（本刊特約杭州通信）去年九月初自日軍在富陽的宋殿簽字受降……","观察","1946","第1卷 第9期","16-17",NA,"上海"
"台灣鱗爪：（本刊台灣通信）雙十節前夕……","章英","观察","1946","第1卷 第9期","17-18","上海"
"文學·藝術·戲劇·音樂：孟德遜：最幸運的作曲家（附歌譜）","戴文賽","观察","1946","第1卷 第9期","19-21","上海"
"中國經濟往何處去？","戴世光 芝","观察","1946","第1卷 第10期","2-3","上海"
"觀察通信版：張垣之戦：歷史·理想·教訓：這是一次社會的思想的歷史的戰爭，在塞外高原南望中原烽火感慨萬端","观察","1946","第1卷 第10期","17",NA,"上海"
"觀察通信版：從朱紹良到谷正倫：朱氏主張：在安定中求進步，谷氏主張：從進步中求安定（附圖、照片）","观察","1946","第1卷 第10期","17-19",NA,"上海"
"再論知行","馮友蘭","观察","1946","第1卷 第6期","9","上海"
"中國之過去與將來（續完）：五、中國之將來","張東蓀","观察","1946","第1卷 第6期","10-13","上海"
"牛郎織女","戴文賽","观察","1946","第1卷 第6期","14-15","上海"
"觀察通信版：抗戰業已結束·時代轉入新頁，西南聯大·任務完成·化整爲零：民主傳統·宽容精神·北大清華南開合作九年……","观察","1946","第1卷 第6期","16-17",NA,"上海"
"尾頁：負生偶記（二）：二十五年居平購“熙朝雅頌集”……","观察","1946","第1卷 第5期","22",NA,"上海"
"尾頁：漫畫與標題","光","观察","1946","第1卷 第5期","22","上海"
"尾頁：作者·讀者·編者：茲有數事說明如左……","观察","1946","第1卷 第5期","22",NA,"上海"
"政治民主與經濟民主","吳世昌","观察","1946","第1卷 第5期","4-6","上海"
"中美英蘇之關係與世界和平","胡先驌","观察","1946","第1卷 第5期","6-8","上海"
"中國之過去與將來：四、衝突中的消長（下）","張東蓀","观察","1946","第1卷 第5期","8-11","上海"
"觀察通信版：從朱紹良到谷正倫：谷正倫素描：[畫圖]","观察","1946","第1卷 第10期","17",NA,"上海"
"觀察通信版：張治中獨鎮西陲：新疆在新生躍進之中：在鐵道未舖設到新疆之前，汽車的運輸能力仍嫌薄弱，今日之甘新公路上，拉拉車是這動脈中最活躍的血球，是過渡期間軍民運輸的主力：[照片二幅]","观察","1946","第1卷 第5期","17",NA,"上海"
"家庭關係·政治關係·民主政治","吳恩裕","观察","1946","第1卷 第4期","7-9","上海"
"中國之過去與將來（本節未完）","張東蓀","观察","1946","第1卷 第4期","9-11","上海"
"原子能研究的發展經過","戴文賽","观察","1946","第1卷 第4期","11-15","上海"
"煩惱的美國人的煩惱（紐約通信）","楊剛","观察","1946","第1卷 第4期","16-17","上海"
"觀察通信版：從個人到世界：矛盾引導着前進：中國是一匹倔強的騾子，且看誰拉得住這條繮繩","观察","1946","第1卷 第4期","18-19",NA,"上海"
"觀察通信版：重歸英國懷抱後的香港：僅僅一年，居民卽已回復到了戰前的數目……","观察","1946","第1卷 第4期","19-20",NA,"上海"
"文學·藝術·戲劇·音樂：“静的戲劇與動的戲劇”","陳瘦竹","观察","1946","第1卷 第4期","21-23","上海"
"動盪中的世界政治潮流","李俠文 芝","观察","1946","第1卷 第5期","2-4","上海"
"文學·藝術·戲劇·音樂：莎士比亞十四行：第十八首：我怎麽能把你比做夏天？……：[詩歌多首]","戴鎦齡","观察","1946","第1卷 第5期","20","上海"
"尾頁：負生偶記（十）","观察","1946","第1卷 第15期","22",NA,"上海"
"尾頁：北行記","谷遺","观察","1946","第1卷 第15期","22","上海"
"尾頁：本刋在蘭州","观察","1946","第1卷 第15期","22",NA,"上海"
"論省自治","陳柏心","观察","1946","第1卷 第15期","4-7","上海"
"性格及職業興趣的遺傳問題","錢蘋","观察","1946","第1卷 第15期","7-8","上海"
"派與匯（一）：作爲費孝通：“生育制度”一書的序","潘光旦","观察","1946","第1卷 第15期","8-10","上海"
"“黃埔主席”第一人梁華盛在吉林的作風：假如中國還不能進步到實行民選省主席，至少希望中央勿再任命軍人担任行政官","观察","1946","第1卷 第15期","15-16",NA,"上海"
"青海青·黃河黃，左公柳·馬公楊：青海之戀：（附圖、照片）","朱俊岐","观察","1946","第1卷 第15期","17-19，16","上海"
"中國的政局","儲安平","观察","1947","第2卷 第2期","2-7","上海"
"觀察漫畫：空中（轉載）(DETRPOT FREE PRESS)：[漫畫]","观察","1947","第3卷 第1期","14",NA,"上海"
"對于錢端升先生所擬“聯立之路”的意見","观察","1947","第2卷 第8期","13-14，21",NA,"上海"
"讀者投書：聯合政府","張世祿 芝","观察","1947","第2卷 第9期","1","上海"
"英國工黨政府對於民營事業的管理辦法","奇英","观察","1947","第2卷 第9期","12","上海"
"觀察漫畫：內戰……：[漫畫三幅]","观察","1947","第2卷 第9期","13，0",NA,"上海"
"觀察文摘：這個樣子的宋子文非走開不可（原作者：傅孟眞）","观察","1947","第2卷 第1期","24-25",NA,"上海"
"觀察文摘：宋子文的失敗（原作者：傅孟眞）","观察","1947","第2卷 第1期","25",NA,"上海"
"編輯後記：從這一卷起，假如每期有多餘的空白地位……","安平","观察","1947","第2卷 第1期","26","上海"
"讀者投書：新疆綏遠的省名","王執中","观察","1947","第2卷 第1期","1","上海"
"讀者投書：新疆譯名正誤","周東郊","观察","1947","第2卷 第1期","1","上海"
"讀者投書：互助會","观察","1947","第2卷 第1期","1",NA,"上海"
"讀者投書：抗幣與法幣的匯率","雋生","观察","1947","第2卷 第1期","1","上海"
"法蘭西第四共和國（巴黎通信）","观察","1947","第1卷 第23期","10-15",NA,"上海"
"經濟之改造（完）","胡先驌","观察","1947","第1卷 第23期","15-16","上海"
"視種煙爲利藪：劉支輝與西康煙匪之亂：宣傳剷煙、實在種煙、散發煙籽、徵收公煙。以槍換煙、煙民造亂、此人不去、何能剷煙","观察","1947","第1卷 第23期","17",NA,"上海"
"海南島的風·匪·人","观察","1947","第1卷 第23期","18-19",NA,"上海"
"南疆紀行","陳力","观察","1947","第1卷 第23期","19","上海"
"文學·藝術·戯劇·音樂：談玄詩","張道真","观察","1947","第1卷 第23期","20-21","上海"
"辛勤·忍耐·向前：本刊的誕生·半年來的本刊（附圖表）","儲安平 芝","观察","1947","第1卷 第24期","3-9","上海"
"文學·藝術·戯劇·音樂：人和文","(美)賽珍珠","观察","1947","第1卷 第24期","30-31","上海"
"和談一年","吳世昌","观察","1947","第1卷 第24期","10-12","上海"
"觀察漫畫：贊成的舉手：[漫畫]","方成","观察","1947","第3卷 第1期","14","上海"
"觀察漫畫：不要緊，牠現在很馴良、抗議！！！：[漫畫二幅]","方成","观察","1947","第3卷 第1期","14","上海"
"觀察漫畫：被釋以後：[漫畫]","李樺","观察","1947","第3卷 第1期","14","上海"
"觀察通信版：魏德邁在中國所瞭解的·所煩惱的·和可能建議的","观察","1947","第3卷 第1期","15-16",NA,"上海"
"觀察通信版：魏德邁在平津的一段","观察","1947","第3卷 第1期","16-17",NA,"上海"
"觀察通信版：記四大學北平區聯考漏題案","張漢清","观察","1947","第3卷 第1期","17-18","上海"
"論朗誦詩","朱自清","观察","1947","第3卷 第1期","19-20","上海"
"讀者投書：技術人員與內戰","彭克昔","观察","1947","第3卷 第1期","1","上海"
"書評：法國革命史（Albert Mathiez原著，楊人楩譯註）","王繩祖","观察","1947","第3卷 第1期","21-22","上海"
"讀者投書：政府限制大學生就業又一例","沈茂坊","观察","1947","第3卷 第1期","1","上海"
